benchmark,run,result
quadratic,total_dyn_LRU_spills,1881
primes-between,total_dyn_LRU_spills,1011542
birthday,total_dyn_LRU_spills,1334
orders,total_dyn_LRU_spills,3726
sum-check,total_dyn_LRU_spills,23
palindrome,total_dyn_LRU_spills,254
totient,total_dyn_LRU_spills,612
relative-primes,total_dyn_LRU_spills,2140
hanoi,total_dyn_LRU_spills,13
is-decreasing,total_dyn_LRU_spills,222
check-primes,total_dyn_LRU_spills,21803
sum-sq-diff,total_dyn_LRU_spills,7882
fitsinside,total_dyn_LRU_spills,12
fact,total_dyn_LRU_spills,14
loopfact,total_dyn_LRU_spills,298
recfact,total_dyn_LRU_spills,17
factors,total_dyn_LRU_spills,160
perfect,total_dyn_LRU_spills,542
bitshift,total_dyn_LRU_spills,112
digital-root,total_dyn_LRU_spills,282
up-arrow,total_dyn_LRU_spills,89
sum-divisors,total_dyn_LRU_spills,313
ackermann,total_dyn_LRU_spills,13
pythagorean_triple,total_dyn_LRU_spills,5077
euclid,total_dyn_LRU_spills,1088
binary-fmt,total_dyn_LRU_spills,11
lcm,total_dyn_LRU_spills,3487
gcd,total_dyn_LRU_spills,26
catalan,total_dyn_LRU_spills,915261
armstrong,total_dyn_LRU_spills,110
pascals-row,total_dyn_LRU_spills,397
collatz,total_dyn_LRU_spills,27
sum-bits,total_dyn_LRU_spills,24
rectangles-area-difference,total_dyn_LRU_spills,11
mod_inv,total_dyn_LRU_spills,1318
reverse,total_dyn_LRU_spills,109
fizz-buzz,total_dyn_LRU_spills,14152
bitwise-ops,total_dyn_LRU_spills,2216